,date,QT_EXIST0
0,2020-02,-162.49420988073038
1,2020-03,-1.8072289156626504
2,2020-04,0.0
3,2020-05,0.0
4,2020-06,-84.99177278273272
5,2020-07,-33.75374524252976
6,2020-09,-23.610885795759746
7,2020-10,-10.069931159081705
8,2020-11,-625.003885003885
9,2021-01,-37.232798573975046
10,2021-02,-20.73287180711387
11,2021-03,-0.35211267605633806
12,2021-04,-343.6212806801042
13,2021-05,-398.6150725350381
14,2021-06,-31.323877068557916
15,2021-07,-69.47245206050648
16,2021-08,-9.428385234836847
17,2021-09,-104.33753477270133
18,2021-10,-36.53400653400654
19,2021-11,-24.877591218243424
20,2021-12,-8.108108108108109
21,2022-01,-149.4294974267142
22,2022-02,-16.463027795774664
23,2022-03,-19.394824086461295
24,2022-04,-95.98526382986194
25,2022-05,-27.283825859086146
26,2022-06,0.0
27,2022-07,-26.82203481533573
28,2022-08,-66.46358485132635
29,2022-09,-36.84018542137655
30,2022-10,-6.297483380816714
31,2022-11,0.0
