,date,QT_EXIST0
0,2020-02,23.959481968677586
1,2020-03,243.37438083219368
2,2020-04,124.40191690414503
3,2020-05,118.33655108191752
4,2020-06,35.62157527002576
5,2020-07,182.83717089184515
6,2020-08,194.94094657111384
7,2020-09,73.04279656133251
8,2020-10,21.088315938352075
9,2020-11,50.72861639155515
10,2020-12,168.583578030299
11,2021-01,22.289359967496395
12,2021-02,93.15313380020027
13,2021-03,264.45041945464203
14,2021-04,75.94989838501547
15,2021-05,97.77589302368173
16,2021-06,265.6670634997501
17,2021-07,73.3312814989259
18,2021-08,181.20391809971147
19,2021-09,124.57002045699234
20,2021-10,196.94129193325864
21,2021-11,90.44652162370025
22,2021-12,94.30804591665841
23,2022-01,74.26390143645021
24,2022-02,20.49803416798491
25,2022-03,43.606662103603504
26,2022-04,18.341077612310414
27,2022-05,46.49329694311151
28,2022-06,36.41025641025641
29,2022-07,134.58405069626576
30,2022-08,44.97085926879044
31,2022-09,11.448831765837852
32,2022-10,159.40043110714197
33,2022-11,4.139784280762508
